非此即彼	以偏概全	心理过滤	否定正面思考	读心术	先知错误	放大	情绪化推理	应该式	乱贴标签	罪责归己	罪责归他	内容
0	0	0	0	0	1	0	0	0	0	0	0	我可以偷偷做自己喜欢的事情吗 可是会被所有人包括自己嘲笑
0	0	0	0	1	0	0	0	0	0	1	0	已经很久很久很久大概不知道有多久,没有真正的开心过了,自残过自杀未遂过,醒来的每一天都觉得自己是个罪人,看到每个人的眼神里都透漏着我有病的暗想,睡不着吃不下死不了。
0	0	0	0	0	0	1	0	0	0	0	0	总觉得自己哪都不好,优点没有,缺点一大堆,每天都告诉自己要努力,要变优秀,可是没有一次做到,每天都好丧,好讨厌自己
0	0	0	0	0	0	0	0	0	1	0	0	老天这么对我是不是说明其实我就是一个坏人啊
0	0	0	0	0	0	0	0	0	1	0	0	我喜欢一个人 就只是喜欢了 是不是太懦弱 怕连话都说不了
0	0	0	0	0	0	0	0	0	1	0	0	因为觉得个别男的很讨厌;;很恶心
0	0	0	0	0	0	0	0	0	1	0	0	把我的钱也骗没有了,我最在乎的人也没有了。我怎么那么糟糕
0	0	0	0	0	0	0	0	0	1	0	0	我真的变成了一个非常糟糕的人 好难过
0	0	0	0	0	1	0	0	0	0	0	0	从未有人爱过我,自己也是,所以为什么活着
0	0	0	0	0	1	0	0	0	1	0	0	活着干嘛吗,耻辱,自卑,一辈子都好不了
0	0	0	0	0	0	0	0	0	0	1	0	我总是抱怨生活不公,小时候得病,初中失去家人,越来越大的时候头疼越来越严重。我是不是上辈子做了很多孽
0	0	1	0	0	0	0	0	0	0	0	0	不知道哪里去诉说的时候就会想到你,饭我好难过,社会上一件又一件悲伤的事情发生让我难过,饭,我很纠结,因为我绝望痛苦的时候也会想结束生命,甚至有几次去尝试过,但是当我今天看到高以翔猝死,事实上我看到猝死这个词的时候我就会感到全身颤抖,变得极度恐惧焦虑和没有安全感,我怕的是突然和失控
0	0	0	0	0	0	0	0	0	1	0	0	我为什么对这个世界有那么多怨言,人生像一滩烂泥一样又烂又臭。
0	0	0	0	0	0	0	0	0	1	0	0	我觉得自己什么都做不好 我是个废物 好想死啊
0	0	1	0	0	0	1	0	0	0	0	0	好累啊!离职半个月了,一直没找到合适的工作,觉得人生没有意义,对不起家人
0	0	1	0	0	0	0	0	0	0	0	0	细想一下从出生到现在好像没有一刻真正的幸福过好像永远都在阴沟里像一滩臭水
0	0	0	0	0	0	0	0	0	1	0	0	我不值得,我不配,我是个垃圾
0	0	0	0	0	0	0	0	0	1	0	0	我真的太没用了我拼命的争取可是别人就可以这么轻而易举得到了 为什么啊
0	0	0	0	1	0	0	0	0	0	0	0	哇,我今天随便穿搭了一下然后感觉很帅就出门了,路上的人看我的眼神感觉好冷淡。刚开始走了一会感觉还好,到后面感觉超级尴尬超级怕,超级没有安全感。看到好看的妹妹会特别自卑。看到比我好一点的男生也特别自卑。今天到超市勾娃娃也有一点不知所措的,东张西望。那种无助的感觉一直在脑子里面徘徊。
0	0	0	0	0	0	0	0	0	1	0	0	啊好想去杭州看海尔兄弟,想去的要死,但没钱没人陪哈哈哈哈哈好垃圾啊我
