id,内容,非此即彼,以偏概全,心理过滤,否定正面思考,读心术,先知错误,放大,情绪化推理,应该式,乱贴标签,罪责归己,罪责归他
1,做得再好也好都不會被珍惜,0,1,0,0,0,1,0,0,0,0,0,0
2,自卑的种子已经在我心中长成参天大树了,0,0,0,0,0,0,0,0,0,1,0,0
3,我为什么还活着我介个拖油瓶又一次度过了艰难的一天加油,0,0,0,0,0,0,0,0,0,1,0,0
4,我真的已经开心不起来了我成为了拖累被一次次告知让人失望让人觉得心烦让人觉得累我不想好好活了我满脑子都想着怎么样死医生让我要结合心理治疗我却不愿意,0,0,1,0,0,0,0,0,0,1,0,0
5,没有人能救我,0,0,0,0,0,1,0,0,0,0,0,0
6,饭我有些分不清自己是抑郁还是懦弱失望,0,0,0,0,0,0,0,0,0,1,0,0
7,活着就是等死从身体到心一点一点失去力量,0,0,1,0,0,0,0,0,0,0,0,0
8,饭今天我被赶出来了我无处落脚我知道这是上天在不断的逼我走上绝路他连平方米的安身之处都不肯给我我对着我的凉席说你跟我都好可怜天下之大竟然没有你我的容身之处或许你最好的归宿是垃圾桶而我则是坟场但我终究还是没有把他扔进垃圾桶因为这张凉席还愿意与我相依为命,0,0,0,0,0,1,0,0,0,0,0,0
9,我拼命去讨好别人但是最后我还是被扔掉了我的真心就是那么不值钱,0,0,0,0,0,0,0,0,1,0,0,0
10,她和他两个人在她房间吃火锅聊的停不下来我感觉我好多余啊,0,0,0,0,0,0,1,0,0,1,0,0
11,我觉得我一定死得特别早吧,0,0,0,0,0,1,0,0,0,0,0,0
12,焦慮每天都想跳樓不會鋪床每天都在想,0,0,1,0,0,0,0,0,0,0,0,0
13,我又来了现在心里特别难受感觉人生无望觉得特别对不起父母我一把年纪的人了还要他们操心我怎么这么无能,0,0,0,0,0,0,0,0,0,1,1,0
14,什么都做不好连普通人都做不到一无是处的我,0,1,0,0,0,0,0,0,0,1,0,0
15,你每天都这么消极能不能积极一点你这样让人感到很烦你知不知道你成天想这么多就是因为太闲这是我听过最多的安慰我的话一句句都像刀子一样刺穿着心在布满荆棘的路上找自己走着走着走散了行尸走肉般的存活着痛苦着这辈子浑浑噩噩的下去吧下辈子不当人了厌恶了,0,0,0,0,0,0,0,0,0,1,0,0
16,活着竟是这样悲哀的事看不到未来不想结婚却被视作怪人究竟我这一生是在替别人活还是怎样苟延残喘一样有气无力的坚持着我不知道能撑到哪天我不想结婚就算我真的是怪物我也没有去伤害别人我只是希望活得自由些而已,0,0,1,0,0,0,0,0,0,1,0,0
17,我没有留恋的我什么都不行长相平平性格不好也不会处理人际关系未来一点也看不到上个学期抑郁得瘦了好几斤室友在背后说我有点自闭我很努力很努力调整自己的心态每天都笑得很开心我让自己看起来不自闭每天都好累又无能为力,0,0,1,0,0,0,0,0,0,0,0,0
18,突然很期待有个人能走进我的生活可是我又是这个鬼样子,0,0,0,0,0,0,0,0,0,1,0,0
19,全世界真的都不要我了,0,0,0,0,0,1,0,0,0,0,0,0
20,昨晚和朋友讨论怎么死才会不痛苦以前呢都是怕死怕疼又想死从昨天开始好像就不怕痛了呢好像是一瞬间就觉着该彻底放下这一切了,0,0,0,0,0,0,0,0,1,0,0,0
21,一直以为自己又开朗又坚强慢慢的骗过了身边的所有人包括亲人都开始不在意我的心理状态经常会说出些很伤人的话最近的我越来越常想自杀要是有饭饭的勇气就好了这样就不会度过每一个黯淡无光的明天,0,0,1,0,0,0,0,0,0,0,0,0
22,我就不应该相信任何人,0,0,0,0,0,0,0,0,1,0,0,0
23,可能是我我活该吧从出生到现在真的就是个loser没有做成功任何一件事想好好的谈一场恋爱又异常的艰难我真的不配吧,0,0,0,0,0,0,0,0,1,1,0,0
24,压力大亲人不理解很难过还有婚前焦虑症,0,0,1,0,0,0,0,0,0,0,0,0
25,好累啊我不会变好了,0,0,0,0,0,1,0,0,0,0,0,0
26,什么狗屁朋友表面装的真好,0,0,0,0,0,0,0,0,0,1,0,0
27,快乐这件事情从来不会发生在我身上,0,0,0,0,0,1,0,0,0,0,0,0
28,未来看不到光明,0,0,0,0,0,1,0,0,0,0,0,0
29,每次看到有那些年纪轻轻却发生意外或是遇到天灾都会觉得很心痛老天爷为什么要把他们带走为什么死的人不是我我才是最应该死的那个啊,0,0,0,0,0,0,0,0,1,0,0,0
30,我不是想死我怕痛的但是那个自卑自闭怀疑自己不自信的自己讨厌要杀掉它但是做不到我还是舍不得,0,0,0,0,0,0,0,0,0,1,0,0
31,走饭姐啊我今天在你的评论里遇见了一个哥哥他不是很开心我找了他聊天我希望我可以给他带来快乐和希望我能感同身受他的内心不过他好像并不是很在意我的认真啊失望失望失望,0,0,0,0,0,1,0,0,0,0,0,0
32,临去上班的时候我请了个病假可是我并没有发烧只是单纯地不想见到任何人不想强装笑容不想活着,0,0,1,0,0,0,0,0,0,0,0,0
33,所以到底是抑郁还是社恐不对应该是都有才对,0,0,0,0,0,0,0,0,1,0,0,0
34,我又做错了什么我最大的错是一开始就不该来到这个世界上我最大的错是一出生就该夭折我最大的错就是离家出走之后就不该活着回来我最大的错就是服药自尽不应该被救我最大的错就是还舔着脸活在这世上我该死我最该死,0,0,0,0,0,0,0,0,1,0,0,0
35,生活无望,0,0,1,0,0,0,0,0,0,0,0,0
