非此即彼,以偏概全,心理过滤,否定正面思考,读心术,先知错误,放大,情绪化推理,应该句式,乱贴标签,罪责归己,罪责归他,内容
0,1,1,0,0,1,0,0,0,0,0,0,有时候很想一个人，没有谁在乎我，这样我就可以一个人浪迹天涯，一个人生活，一辈子，现在的我，不上不下，我在乎我似乎只有我的父母，因为他们也在乎我，我不在了，他们难过的样子我想起来觉得也对不起他们，但是，我这个性格已经没救了吧。平时都是虚伪的我，在这里才能展示我内心的另一面。
0,0,0,0,0,0,0,0,0,0,1,0,同样的日子，为什么别人过得开心，而我天天挑剔，一定是我的过错
0,0,0,0,0,1,0,0,0,0,0,0,饭啊，我突然想找个人谈恋爱，男的女的都行，最好跟我一样，我就想知道两个抑郁症在一起，是互相拯救还是一起走向尽头，我发现两种结局都不变，但是这个世界再也没人能救得了我。
0,1,0,0,0,1,0,0,0,0,0,0,已经没什么人心疼我了&nbsp;&nbsp;他也远离我了[伤心]或许真的到了结尾了
0,0,1,0,0,0,0,0,0,1,1,0,为什么我老是不开心，对不起你们要和这么神经质的我相处，对不起你们过去认识的那个我已经不在了
0,0,0,0,0,0,0,0,0,1,0,0,能从什么地点学会聪明呢？怕是到死也是这副笨样子吧
0,1,0,0,0,0,0,0,0,1,0,0,胆小 懦弱 一无是处的人啊
0,0,0,0,1,0,0,0,0,0,0,0,上班好像又被针对了，别人让我学聪明点，可我真的不知道要怎么才叫聪明
0,0,0,0,0,0,0,1,0,1,0,0,自残后感觉自己坏掉了。和周围的人不一样，感觉怪怪的。真切的感觉自己是另类。伤口的疼痛告诉自己还活着，告诉自己过的并不顺心，刚才看佛祖的视频还笑出了声，是不是我作啊，自己作自己，弄出一身伤。
0,0,0,0,0,0,1,0,0,0,0,0,饭啊 带我走吧 好难过 好崩溃 好难
